title,name,value
9.1.2023,12 kk (tod.pv/360),"3,328"
6.1.2023,1 kk (tod.pv/360),"1,904"
6.1.2023,3 kk (tod.pv/360),"2,254"
6.1.2023,6 kk (tod.pv/360),"2,805"
6.1.2023,12 kk (tod.pv/360),"3,328"
5.1.2023,1 kk (tod.pv/360),"1,894"
5.1.2023,3 kk (tod.pv/360),"2,178"
5.1.2023,6 kk (tod.pv/360),"2,772"
5.1.2023,12 kk (tod.pv/360),"3,303"
4.1.2023,1 kk (tod.pv/360),"1,888"
4.1.2023,3 kk (tod.pv/360),"2,170"
4.1.2023,6 kk (tod.pv/360),"2,761"
4.1.2023,12 kk (tod.pv/360),"3,312"
3.1.2023,1 kk (tod.pv/360),"1,854"
3.1.2023,3 kk (tod.pv/360),"2,172"
3.1.2023,6 kk (tod.pv/360),"2,739"
3.1.2023,12 kk (tod.pv/360),"3,321"
2.1.2023,1 kk (tod.pv/360),"1,883"
2.1.2023,3 kk (tod.pv/360),"2,162"
2.1.2023,6 kk (tod.pv/360),"2,732"
2.1.2023,12 kk (tod.pv/360),"3,316"
30.12.2022,Eonia (tod.pv/360),
30.12.2022,1 kk (tod.pv/360),"1,884"
30.12.2022,3 kk (tod.pv/360),"2,132"
30.12.2022,6 kk (tod.pv/360),"2,693"
30.12.2022,12 kk (tod.pv/360),"3,291"
29.12.2022,Eonia (tod.pv/360),
29.12.2022,1 kk (tod.pv/360),"1,901"
29.12.2022,3 kk (tod.pv/360),"2,184"
29.12.2022,6 kk (tod.pv/360),"2,726"
29.12.2022,12 kk (tod.pv/360),"3,288"
28.12.2022,Eonia (tod.pv/360),
28.12.2022,1 kk (tod.pv/360),"1,898"
28.12.2022,3 kk (tod.pv/360),"2,202"
28.12.2022,6 kk (tod.pv/360),"2,752"
28.12.2022,12 kk (tod.pv/360),"3,325"
27.12.2022,Eonia (tod.pv/360),
27.12.2022,1 kk (tod.pv/360),"1,895"
27.12.2022,3 kk (tod.pv/360),"2,128"
27.12.2022,6 kk (tod.pv/360),"2,703"
27.12.2022,12 kk (tod.pv/360),"3,265"
23.12.2022,Eonia (tod.pv/360),
23.12.2022,1 kk (tod.pv/360),"1,910"
23.12.2022,3 kk (tod.pv/360),"2,141"
23.12.2022,6 kk (tod.pv/360),"2,701"
23.12.2022,12 kk (tod.pv/360),"3,238"
22.12.2022,Eonia (tod.pv/360),
22.12.2022,1 kk (tod.pv/360),"1,894"
